date,weekly_incidence_onset,weekly_deaths_observed
0,1,0
7,1,0
14,5,0
21,4,0
28,12,1
35,18,3
42,15,2
49,20,3
56,23,5
63,22,6
70,30,7
77,22,13
84,34,8
91,39,7
98,62,14
105,59,15
112,82,15
119,87,34
126,117,34
133,144,35
140,163,42
147,210,59
154,236,53
161,332,76
168,293,113
175,309,89
182,276,111
189,266,101
196,265,107
203,254,107
210,214,80
217,183,90
224,151,69
231,165,64
238,158,71
245,128,46
252,122,53
259,117,33
266,94,52
273,102,36
280,110,29
287,97,31
294,86,44
301,82,37
308,66,22
315,83,24
322,78,30
329,73,24
336,65,29
343,63,14
350,51,22
357,54,25
364,42,17
371,45,17
378,40,18
